"","x"
"1",1697
"2",1600
"3",1294
"4",1621
"5",1284
"6",491
"7",263
"8",1819
"9",1252
"10",1346
"11",1728
"12",1289
"13",479
"14",284
"15",1885
"16",1431
"17",1325
"18",1412
"19",1385
"20",510
"21",321
"22",1731
"23",1651
"24",1293
"25",1370
"26",1259
"27",338
"28",220
"29",1404
"30",972
"31",1038
"32",1174
"33",939
"34",334
"35",256
"36",1923
"37",1501
"38",1149
"39",1515
"40",1366
"41",506
"42",336
"43",1724
"44",1739
"45",1375
"46",1506
"47",1753
"48",647
"49",404
"50",2831
"51",2178
"52",1843
"53",1605
"54",1467
"55",551
"56",376
"57",1909
"58",1558
"59",1262
"60",1670
"61",1159
"62",532
"63",362
"64",2007
"65",1883
"66",1436
"67",1663
"68",1235
"69",496
"70",291
"71",2155
"72",1530
"73",1498
"74",1634
"75",1303
"76",529
"77",285
"78",2070
"79",1192
"80",1163
"81",1304
"82",887
"83",459
"84",252
"85",1498
"86",1211
"87",1265
"88",1888
"89",1204
"90",475
"91",316
"92",2258
"93",1829
"94",1612
"95",1577
"96",1397
"97",497
"98",351
"99",2813
"100",2297
"101",1906
"102",2437
"103",1869
"104",678
"105",296
"106",2228
"107",1910
"108",1520
"109",1765
"110",1348
"111",479
"112",357
"113",1891
"114",1815
"115",1670
"116",1811
"117",1532
"118",514
"119",360
"120",1988
"121",1898
"122",1348
"123",1894
"124",1279
"125",576
"126",358
"127",2282
"128",1613
"129",1401
"130",1804
"131",1086
"132",446
"133",247
"134",1348
"135",1501
"136",1049
"137",1242
"138",936
"139",459
"140",429
"141",1804
"142",1559
"143",1342
"144",2034
"145",1540
"146",620
"147",294
"148",2313
"149",2036
"150",1470
"151",2367
"152",1850
"153",711
"154",485
"155",2976
"156",2243
"157",1450
"158",1954
"159",1520
"160",540
"161",359
"162",2135
"163",1757
"164",1603
"165",1616
"166",1563
"167",566
"168",338
"169",2361
"170",1734
"171",1443
"172",1656
"173",1511
"174",480
"175",372
"176",2212
"177",2015
"178",1513
"179",1923
"180",1454
"181",533
"182",392
"183",1592
"184",1473
"185",1221
"186",1245
"187",1231
"188",391
"189",265
"190",1455
"191",1715
"192",1744
"193",1602
"194",1291
"195",490
"196",418
"197",2265
"198",1897
"199",1342
"200",1932
"201",1650
"202",563
"203",508
"204",2883
"205",2170
"206",2263
"207",2720
"208",1984
"209",509
"210",380
"211",2386
"212",2165
"213",1589
"214",1709
"215",1461
"216",556
"217",351
"218",2351
"219",2023
"220",1568
"221",2032
"222",1485
"223",512
"224",347
"225",2457
"226",1810
"227",1741
"228",1963
"229",1670
"230",575
"231",420
"232",2119
"233",1748
"234",1694
"235",1468
"236",1213
"237",425
"238",225
"239",1797
"240",1367
"241",1164
"242",1347
"243",1396
"244",616
"245",381
"246",2129
"247",1760
"248",1771
"249",2025
"250",1690
"251",566
"252",376
"253",2364
"254",1809
"255",2212
"256",2465
"257",1978
"258",801
"259",543
"260",3081
"261",1722
"262",1836
"263",1914
"264",1738
"265",626
"266",376
"267",2221
"268",1934
"269",1498
"270",2051
"271",1717
"272",568
"273",385
"274",2229
"275",2111
"276",1575
"277",2051
"278",1444
"279",643
"280",402
"281",2524
"282",1989
"283",1665
"284",1976
"285",1477
"286",592
"287",289
"288",1820
"289",1500
"290",1207
"291",1544
"292",1185
"293",413
"294",251
"295",2161
"296",2106
"297",1516
"298",1757
"299",1458
"300",652
"301",452
"302",2527
"303",1733
"304",1827
"305",2165
"306",1596
"307",797
"308",522
"309",3009
"310",2737
"311",2413
"312",2704
"313",1579
"314",656
"315",424
"316",2776
"317",2076
"318",1542
"319",1949
"320",1652
"321",595
"322",428
"323",2661
"324",2093
"325",1767
"326",1980
"327",1502
"328",491
"329",389
"330",2177
"331",2182
"332",1668
"333",2015
"334",1575
"335",660
"336",383
"337",2276
"338",2036
"339",1278
"340",1601
"341",1155
"342",434
"343",348
"344",1766
"345",1423
"346",1237
"347",1757
"348",1642
"349",588
"350",372
"351",2125
"352",2262
"353",1825
"354",2190
"355",1603
"356",653
"357",478
"358",2355
"359",2715
"360",2277
"361",2654
"362",2294
"363",786
"364",517
"365",2029
"366",2155
"367",1829
"368",2207
"369",1682
"370",602
"371",384
"372",2670
"373",1819
"374",1796
"375",2175
"376",1734
"377",619
"378",373
"379",2322
"380",1856
"381",1797
"382",1906
"383",1842
"384",617
"385",428
"386",2412
"387",2143
"388",1678
"389",1932
"390",1689
"391",449
"392",311
"393",1789
"394",1311
"395",1424
"396",1492
"397",1206
"398",451
"399",336
"400",2621
"401",1796
"402",1645
"403",1951
"404",1749
"405",633
"406",410
"407",2115
"408",2108
"409",1971
"410",1891
"411",2221
"412",817
"413",465
"414",3444
"415",3101
"416",2203
"417",1860
"418",1778
"419",619
"420",433
"421",2492
"422",2114
"423",1608
"424",2212
"425",1599
"426",668
"427",407
"428",2562
"429",2256
"430",1705
"431",1968
"432",1655
"433",630
"434",373
"435",2657
"436",2090
"437",1935
"438",2089
"439",1787
"440",626
"441",412
"442",2624
"443",1539
"444",1337
"445",1529
"446",1057
"447",541
"448",323
"449",1735
"450",1321
"451",1658
"452",2083
"453",1367
"454",568
"455",365
"456",2736
"457",2173
"458",1882
"459",1992
"460",1766
